add_dens_source,diffuse_dens,lin_solve_dens,advect_dens,add_source_vel,diffuse_vel,lin_solve_vel,advect_vel
0.00231166,0.181579,0.0895116,0.0173863,0.000837861,-0.0876768,0.0876655,-1.1255e-05,0.00731491
0.0223611,0.189122,0.091434,0.0172249,0.000620719,-0.0896331,0.0896176,-1.5469e-05,0.00734593
0.00196313,0.20421,0.0901021,0.0174615,0.000629508,-0.0894091,0.0893958,-1.3305e-05,0.00747353
0.00499624,0.218172,0.103999,0.0573769,0.00616343,-0.111845,0.111829,-1.6262e-05,0.0158311
0.00646045,0.22448,0.109603,0.0193094,0.00121132,-0.098919,0.0989042,-1.4852e-05,0.0082886
0.001917,0.181549,0.0870786,0.0172889,0.000622655,-0.0896841,0.0896701,-1.4015e-05,0.00778149
0.00281551,0.18224,0.0894952,0.0174744,0.00100521,-0.0878042,0.0877927,-1.1482e-05,0.00744788
0.00204236,0.181549,0.0902169,0.0201625,0.000631172,-0.0923402,0.0923247,-1.5478e-05,0.00749451
0.00323776,0.181565,0.0961655,0.055159,0.000632927,-0.10217,0.102155,-1.4747e-05,0.00852839
0.00221313,0.181587,0.0974531,0.0172471,0.000630425,-0.0909586,0.0909468,-1.1783e-05,0.00783837
0.0209199,0.200589,0.104328,0.0445753,0.00329953,-0.120817,0.120796,-2.085e-05,0.031981
0.00201633,0.195993,0.0907223,0.0206208,0.000723624,-0.0920099,0.0919945,-1.5453e-05,0.00803233
0.00193344,0.180297,0.08619,0.0174943,0.000613233,-0.101274,0.101258,-1.5955e-05,0.00805711
0.00190565,0.173588,0.086084,0.0177138,0.000627482,-0.0878203,0.0878082,-1.2163e-05,0.00779163
0.00197779,0.182093,0.0883914,0.0174127,0.000626068,-0.0881391,0.0881232,-1.5979e-05,0.00807084
0.00195965,0.180489,0.0884106,0.0172262,0.00401357,-0.100975,0.100957,-1.7486e-05,0.0239892
0.028882,0.22923,0.105014,0.0699999,0.0106716,-0.102924,0.10291,-1.4601e-05,0.0201078
0.0116871,0.230238,0.110001,0.019924,0.000670027,-0.116934,0.116915,-1.9209e-05,0.00860791
0.0019393,0.195884,0.0906699,0.0185631,0.000627438,-0.0932634,0.0932469,-1.6554e-05,0.00817289
0.00194519,0.222619,0.162443,0.0229453,0.0012195,-0.0978302,0.0978156,-1.4614e-05,0.00915766
0.00194114,0.189943,0.102085,0.0178012,0.000625397,-0.0886663,0.0886521,-1.4167e-05,0.00769238
0.00195799,0.178134,0.0897299,0.0175199,0.000615907,-0.0892578,0.0892423,-1.5582e-05,0.00834568
0.00191947,0.190238,0.091269,0.01787,0.00723621,-0.101653,0.101637,-1.6299e-05,0.0189932
0.0221774,0.22491,0.123927,0.0636557,0.00720728,-0.118797,0.118778,-1.8525e-05,0.0199765
0.00416021,0.199321,0.0957867,0.0185866,0.000647845,-0.0949035,0.0948872,-1.6341e-05,0.00837608
0.00226618,0.185238,0.0911503,0.0175674,0.000612745,-0.088474,0.0884573,-1.6687e-05,0.0079903
0.00200431,0.181626,0.0883834,0.0175447,0.000621761,-0.0884085,0.0883902,-1.8238e-05,0.00821174
0.00223548,0.180741,0.0862938,0.0174381,0.000649747,-0.0884125,0.0883959,-1.6623e-05,0.00794501
0.00197772,0.181976,0.086646,0.0174867,0.00433212,-0.115927,0.115914,-1.3572e-05,0.0279814
0.0111695,0.208221,0.106618,0.0596643,0.00477645,-0.131224,0.131207,-1.6861e-05,0.0220588
0.0205907,0.229133,0.0993807,0.0330505,0.000636089,-0.0938263,0.0938095,-1.6829e-05,0.0083045
0.00194506,0.18234,0.092421,0.0311358,0.000626842,-0.0929857,0.0929678,-1.7831e-05,0.00877228
0.00236555,0.18712,0.0915641,0.0272985,0.00063707,-0.100575,0.100562,-1.3028e-05,0.00814067
0.00193179,0.181946,0.0907481,0.0187102,0.000629433,-0.090487,0.0904702,-1.6747e-05,0.00798027
0.00195475,0.178715,0.0873758,0.0210933,0.000621543,-0.0882691,0.0882513,-1.7844e-05,0.0081164
0.00224012,0.18158,0.086768,0.0170411,0.000626773,-0.106429,0.106415,-1.4448e-05,0.0241367
0.0136308,0.220668,0.107438,0.0572089,0.00815752,-0.109849,0.109831,-1.7182e-05,0.017977
0.00197882,0.193831,0.0923673,0.0188055,0.000968342,-0.108468,0.108454,-1.3792e-05,0.00860165
0.00230362,0.182258,0.090662,0.0170742,0.000659574,-0.0968885,0.0968767,-1.172e-05,0.00920787
0.00368039,0.182028,0.0877867,0.017519,0.000627668,-0.0887389,0.0887269,-1.1995e-05,0.00807247
0.00216103,0.184338,0.0863119,0.0173776,0.000754965,-0.0891272,0.0891137,-1.3495e-05,0.0089264
0.00193371,0.199469,0.0947814,0.0193357,0.000613299,-0.0924568,0.0924412,-1.5573e-05,0.00836855
0.00193992,0.181812,0.106789,0.0534872,0.00699941,-0.109082,0.109067,-1.5078e-05,0.0134565
0.020985,0.231992,0.106996,0.0499833,0.000742892,-0.110511,0.110496,-1.515e-05,0.0168695
0.00244292,0.183098,0.0926923,0.0172039,0.000620733,-0.0906108,0.0905953,-1.5517e-05,0.00810469
0.00192144,0.178669,0.0860912,0.0290242,0.000624313,-0.0932007,0.0931837,-1.6993e-05,0.00894359
0.00193611,0.181933,0.0913929,0.0173997,0.000618211,-0.0889083,0.0888919,-1.644e-05,0.00828221
0.00192983,0.236609,0.100672,0.0491522,0.00134558,-0.0971462,0.0971314,-1.4742e-05,0.0104618
0.00559766,0.207242,0.112922,0.0724875,0.00716323,-0.111772,0.111755,-1.6657e-05,0.0238553
0.0206862,0.256387,0.117402,0.0790076,0.0107515,-0.156348,0.156329,-1.8755e-05,0.0133273
0.00597521,0.238893,0.111377,0.0360801,0.000643974,-0.110278,0.110262,-1.6217e-05,0.0113532
0.00566738,0.230384,0.103007,0.032932,0.00391674,-0.106895,0.106875,-1.9327e-05,0.0104759
0.00301291,0.206881,0.104998,0.0540169,0.00241297,-0.107142,0.107125,-1.7059e-05,0.0120585
0.00203299,0.204484,0.096022,0.0467883,0.00616133,-0.105839,0.10582,-1.8915e-05,0.0269808
0.00641333,0.216549,0.108018,0.0610228,0.00715789,-0.122421,0.122402,-1.93e-05,0.021387
0.00202312,0.189199,0.0906588,0.0180313,0.000635864,-0.0914584,0.0914427,-1.5693e-05,0.00825352
0.0182917,0.234823,0.112,0.04315,0.00818968,-0.115809,0.115794,-1.5785e-05,0.0190635
0.00199032,0.190301,0.0906388,0.0699671,0.000631826,-0.0957127,0.0956981,-1.4683e-05,0.00951305
0.00193585,0.185648,0.0906285,0.0194072,0.000629451,-0.0887419,0.0887271,-1.4776e-05,0.00853955
0.00192526,0.181362,0.0867832,0.0177263,0.00061975,-0.097622,0.0976081,-1.3906e-05,0.0149214
0.0230273,0.233823,0.102943,0.072683,0.00816496,-0.105833,0.105817,-1.6572e-05,0.0210046
0.00272045,0.207404,0.097729,0.0191458,0.00061914,-0.0935578,0.0935443,-1.3544e-05,0.0103179
0.00268458,0.183386,0.0926544,0.0176737,0.000628534,-0.0888144,0.0887987,-1.5689e-05,0.0114685
0.0019294,0.181591,0.0890538,0.0173307,0.000751995,-0.0959519,0.095937,-1.4945e-05,0.00865734
0.00196776,0.178771,0.0865327,0.0178908,0.000631041,-0.108199,0.108186,-1.2355e-05,0.0114652
0.0093298,0.181805,0.0861231,0.0177324,0.00070701,-0.0888332,0.0888222,-1.0937e-05,0.00844217
0.00194178,0.180623,0.10678,0.057965,0.00749003,-0.113206,0.113189,-1.759e-05,0.0298581
0.0168295,0.219307,0.102259,0.0554347,0.000698335,-0.0989483,0.0989384,-9.949e-06,0.00929549
0.00192505,0.181598,0.090855,0.0174335,0.000625626,-0.089883,0.0898716,-1.1404e-05,0.00897045
0.00215521,0.181665,0.0872117,0.0173837,0.000625543,-0.0889855,0.0889732,-1.2282e-05,0.00877026
0.00192476,0.222853,0.0944039,0.0188466,0.000638416,-0.0962671,0.0962527,-1.4432e-05,0.0151245
0.00196674,0.178972,0.0866446,0.0175126,0.000703085,-0.0896968,0.0896856,-1.1237e-05,0.00854089
0.00221414,0.181018,0.0862262,0.0180895,0.000630709,-0.0894533,0.0894371,-1.6165e-05,0.00908566
0.0213532,0.220849,0.100998,0.0869909,0.00715575,-0.114365,0.114345,-1.9283e-05,0.0159081
0.0165256,0.20939,0.0957949,0.0253592,0.000925727,-0.0938804,0.0938666,-1.3782e-05,0.00963378
0.00194061,0.183343,0.0913484,0.0187432,0.000709243,-0.09095,0.0909354,-1.4668e-05,0.00906888
0.00218334,0.182504,0.0861674,0.0175269,0.000626556,-0.0894064,0.089391,-1.5438e-05,0.00894676
0.00199932,0.192782,0.0955959,0.0186374,0.000632673,-0.0937702,0.0937615,-8.723e-06,0.00917303
0.00195853,0.180629,0.0922286,0.0271072,0.0101673,-0.101972,0.101952,-1.9164e-05,0.0388518
0.010571,0.297022,0.119698,0.0691543,0.00719864,-0.144805,0.144789,-1.6042e-05,0.031977
0.0201898,0.252991,0.129815,0.0679845,0.00516747,-0.119935,0.11992,-1.4696e-05,0.0288831
0.0154803,0.240695,0.110363,0.0368457,0.000658489,-0.132583,0.132567,-1.6033e-05,0.0229091
0.00197454,0.199919,0.134496,0.0290207,0.00147379,-0.101662,0.101647,-1.4501e-05,0.0239016
0.00863845,0.230985,0.109493,0.0739392,0.00419675,-0.118802,0.118784,-1.8936e-05,0.0233354
0.0229855,0.242464,0.11545,0.0619986,0.00538139,-0.125844,0.125829,-1.5647e-05,0.0313403
0.00775479,0.206222,0.0956389,0.0179513,0.000753537,-0.0939622,0.0939512,-1.1017e-05,0.00914516
0.00199503,0.180522,0.086089,0.0174322,0.000666665,-0.0898725,0.0898577,-1.4829e-05,0.00874018
0.00198995,0.183639,0.0916843,0.0172228,0.000627659,-0.0902058,0.0901908,-1.4993e-05,0.00870748
0.00193543,0.186388,0.0871189,0.0177334,0.000650239,-0.0930041,0.092991,-1.3063e-05,0.00884471
0.00325853,0.183988,0.0891132,0.0514691,0.000623354,-0.109282,0.109265,-1.7162e-05,0.00971143
0.0022172,0.195528,0.103785,0.0581261,0.00413863,-0.123861,0.123846,-1.4922e-05,0.0259841
0.0206891,0.234835,0.110001,0.0464596,0.000684114,-0.0978048,0.0977888,-1.5912e-05,0.00939693
0.00196804,0.182529,0.0906569,0.0184492,0.0012502,-0.0904838,0.09047,-1.3797e-05,0.00921983
0.00196534,0.185915,0.0867047,0.01749,0.000625441,-0.0925335,0.0925193,-1.4228e-05,0.00897297
0.0026801,0.185371,0.0883716,0.0178577,0.00270936,-0.0931494,0.0931357,-1.3736e-05,0.0089231
0.00224575,0.181123,0.0861325,0.0199011,0.00063075,-0.0941935,0.0941789,-1.4511e-05,0.00897206
0.00194859,0.181471,0.086224,0.0184462,0.00772105,-0.103837,0.103821,-1.5899e-05,0.0271003
0.0157487,0.239629,0.109198,0.0730012,0.00915527,-0.111589,0.111571,-1.7268e-05,0.0176053
0.00196398,0.202601,0.101386,0.0192294,0.000639787,-0.0976358,0.0976224,-1.3392e-05,0.00974368
0.00202304,0.187043,0.0953866,0.0186993,0.000636653,-0.0923219,0.0923096,-1.2324e-05,0.00932194
0.00194434,0.183896,0.0956848,0.0195334,0.00063373,-0.094395,0.0943793,-1.5656e-05,0.00940227
0.00197459,0.181448,0.0905737,0.0183902,0.000633725,-0.0932797,0.0932644,-1.5387e-05,0.00908648
0.00193456,0.181077,0.0941211,0.0204603,0.000677289,-0.094686,0.0946715,-1.4488e-05,0.00928998
0.00953885,0.218824,0.113989,0.0760024,0.0071635,-0.107834,0.107815,-1.9419e-05,0.0220753
0.0245401,0.23597,0.11483,0.0214115,0.000638533,-0.102476,0.102458,-1.7731e-05,0.0105062
0.00196674,0.186054,0.0906758,0.0172487,0.000627958,-0.0908485,0.0908364,-1.2101e-05,0.00899769
0.00192619,0.180882,0.0861052,0.0176539,0.000618469,-0.0896652,0.0896509,-1.4329e-05,0.00957423
0.00197345,0.181923,0.0862374,0.0173156,0.000670364,-0.0943286,0.0943136,-1.4994e-05,0.0123622
0.00240385,0.181516,0.0907757,0.0170957,0.000618326,-0.0904074,0.090393,-1.4416e-05,0.00915652
0.0061023,0.184896,0.098036,0.0517714,0.00480918,-0.104129,0.104111,-1.8673e-05,0.0327266
0.0228703,0.261843,0.117994,0.0701206,0.000640614,-0.104735,0.104717,-1.8125e-05,0.0141192
0.00196731,0.182852,0.0910569,0.0179171,0.000631281,-0.090435,0.0904196,-1.5456e-05,0.00912465
0.00215999,0.183528,0.0871625,0.0175801,0.000627459,-0.093756,0.0937436,-1.2395e-05,0.0098707
0.00197798,0.183724,0.0874472,0.0176724,0.00065849,-0.0897164,0.0897021,-1.4314e-05,0.00924676
0.00194309,0.194807,0.0893351,0.0223158,0.000643951,-0.0899317,0.0899173,-1.4434e-05,0.00924936
0.00192603,0.181001,0.0936961,0.0171575,0.00061742,-0.089815,0.0897997,-1.5353e-05,0.00916419
0.0212988,0.236836,0.112132,0.0580874,0.00352007,-0.109523,0.109511,-1.1857e-05,0.0319046
0.00663343,0.21682,0.105982,0.0196254,0.000647093,-0.0999295,0.099913,-1.6422e-05,0.0206224
0.00291831,0.181417,0.0907379,0.0174473,0.000633999,-0.0897356,0.0897235,-1.212e-05,0.00946865
0.0126577,0.183723,0.0863453,0.0175826,0.000620832,-0.0914564,0.0914428,-1.3636e-05,0.00934551
0.00192611,0.179341,0.0860862,0.0180505,0.000623716,-0.0901193,0.0901026,-1.6648e-05,0.00977281
0.00195137,0.185974,0.0863799,0.0172305,0.000655637,-0.0912564,0.0912408,-1.5543e-05,0.00948261
0.00580019,0.186835,0.11501,0.0649938,0.00817665,-0.0990099,0.0989913,-1.8543e-05,0.0214285
0.0273464,0.253031,0.10777,0.0250989,0.000639592,-0.0995736,0.0995576,-1.6031e-05,0.00991779
0.00566789,0.184482,0.0906284,0.0215492,0.000686441,-0.103242,0.103228,-1.4775e-05,0.0101619
0.00247636,0.181851,0.0906442,0.0174104,0.000654553,-0.0898642,0.0898563,-7.906e-06,0.00970663
0.0019615,0.181806,0.0896052,0.0174095,0.00063186,-0.0898745,0.0898616,-1.2904e-05,0.00941214
0.00194465,0.181645,0.0910323,0.0176471,0.000660688,-0.0900878,0.090075,-1.2788e-05,0.00946858
0.0022548,0.200933,0.114528,0.0620006,0.00314971,-0.115847,0.115831,-1.5583e-05,0.0284976
0.0277789,0.273817,0.130966,0.129062,0.00518047,-0.17282,0.172803,-1.7516e-05,0.0318516
0.0167982,0.248081,0.119238,0.0672008,0.00772771,-0.117275,0.117259,-1.6326e-05,0.0198809
0.0247963,0.257107,0.115681,0.0565334,0.000627427,-0.109415,0.109398,-1.6854e-05,0.0143385
0.0282461,0.240959,0.113739,0.0385103,0.00123331,-0.12438,0.124364,-1.6288e-05,0.0207242
0.0207164,0.239824,0.123707,0.048828,0.0074561,-0.12454,0.124524,-1.6753e-05,0.0219857
0.0119646,0.226322,0.118449,0.0338426,0.000665097,-0.10021,0.100194,-1.5391e-05,0.0107383
0.00207369,0.186565,0.0908761,0.0171948,0.00064636,-0.0901866,0.0901739,-1.2613e-05,0.00948588
0.023124,0.218059,0.108792,0.0494365,0.00365463,-0.10815,0.108135,-1.535e-05,0.0110659
0.0019216,0.184243,0.0882217,0.0172167,0.000627678,-0.0910168,0.0910021,-1.4794e-05,0.00994214
0.00526835,0.191293,0.0908569,0.0175451,0.000620504,-0.090165,0.0901523,-1.2776e-05,0.0100777
0.0236039,0.218259,0.0979791,0.0647589,0.00695726,-0.107919,0.107903,-1.6682e-05,0.0237095
0.0233724,0.225827,0.101845,0.0193488,0.000647267,-0.0961342,0.0961201,-1.4038e-05,0.0103876
0.00200311,0.181628,0.0915008,0.0184513,0.000663165,-0.0915892,0.0915762,-1.2973e-05,0.0100284
0.00209092,0.191189,0.0892576,0.0285351,0.00067565,-0.0981623,0.098148,-1.4364e-05,0.010277
0.00575977,0.205293,0.0989602,0.0196481,0.000665823,-0.0985435,0.0985244,-1.9085e-05,0.0109393
0.00211739,0.18239,0.0869708,0.0172277,0.000677783,-0.0912494,0.0912333,-1.6026e-05,0.00963006
0.00192461,0.182201,0.0896313,0.0711206,0.00807788,-0.111925,0.111908,-1.7724e-05,0.0257294
0.00606633,0.23503,0.114996,0.0646046,0.00814864,-0.111055,0.111038,-1.6754e-05,0.0216747
0.0020057,0.181647,0.0918429,0.0191654,0.000632489,-0.100225,0.100212,-1.2991e-05,0.0105425
0.00192922,0.182447,0.0906983,0.0173708,0.000619504,-0.0922401,0.0922247,-1.5392e-05,0.0102339
0.00194131,0.185304,0.0897771,0.0174736,0.000624847,-0.0994682,0.0994538,-1.4438e-05,0.0103254
0.00194783,0.182931,0.0907706,0.0184246,0.000621652,-0.0993247,0.0993114,-1.3227e-05,0.0103006
0.0065825,0.200487,0.0990541,0.070217,0.000639047,-0.101547,0.101531,-1.6204e-05,0.0118241
0.00581937,0.245826,0.126999,0.0722558,0.00916945,-0.124538,0.124522,-1.6552e-05,0.0262868
0.00203272,0.239175,0.0975415,0.0244794,0.000631879,-0.096412,0.0963967,-1.5282e-05,0.0107795
0.00320746,0.191676,0.0911744,0.0662013,0.000658424,-0.0981619,0.0981466,-1.5284e-05,0.0168126
0.00264534,0.179786,0.0884055,0.0186369,0.000621404,-0.0905903,0.0905786,-1.1701e-05,0.0105427
0.0019978,0.184703,0.105031,0.0193452,0.00061335,-0.101809,0.101794,-1.5197e-05,0.0106942
0.00674364,0.195208,0.0967647,0.0182932,0.00062993,-0.095396,0.0953847,-1.1313e-05,0.0107656
0.0256548,0.244807,0.102744,0.0603552,0.00216983,-0.107132,0.107117,-1.5672e-05,0.0231213
0.0189029,0.214797,0.103599,0.0181947,0.000643079,-0.0955385,0.095526,-1.2484e-05,0.010513
0.00225059,0.187862,0.0960518,0.0172918,0.000619751,-0.0909403,0.0909252,-1.5148e-05,0.0124492
0.00206187,0.184538,0.101005,0.0176594,0.000639491,-0.0940147,0.0940028,-1.1911e-05,0.0101164
0.00199119,0.183365,0.0896221,0.0212766,0.000674859,-0.0908326,0.0908214,-1.1206e-05,0.0104579
0.00671857,0.201109,0.0907926,0.0216157,0.000623595,-0.0981308,0.0981129,-1.797e-05,0.0110278
0.00201282,0.181622,0.103835,0.0669937,0.00227361,-0.102852,0.102839,-1.3369e-05,0.0237866
0.0214565,0.21983,0.112438,0.0750023,0.000688076,-0.1009,0.100885,-1.5008e-05,0.0115233
0.00199599,0.187142,0.090827,0.0173903,0.00105505,-0.0908513,0.0908384,-1.2944e-05,0.0105196
0.00192462,0.172423,0.0860756,0.0179737,0.000631942,-0.0910715,0.0910601,-1.1406e-05,0.0107979
0.00553131,0.192086,0.0906364,0.0209985,0.00067994,-0.137594,0.137582,-1.1832e-05,0.0256806
0.00197436,0.18879,0.0915419,0.0181626,0.000627308,-0.0944001,0.0943829,-1.7204e-05,0.0103131
0.00193197,0.184956,0.109993,0.0182904,0.000600206,-0.0987531,0.0987406,-1.253e-05,0.0124969
0.0131929,0.231825,0.133005,0.0454257,0.00245694,-0.112846,0.112827,-1.8284e-05,0.0309828
0.00194133,0.193818,0.0912962,0.0189194,0.000721845,-0.105569,0.105554,-1.5654e-05,0.0108916
0.00196301,0.181676,0.09077,0.0186077,0.000621792,-0.0966938,0.0966777,-1.6121e-05,0.0113042
0.00196984,0.182234,0.0882527,0.0206667,0.000676822,-0.0912746,0.0912605,-1.4149e-05,0.0105609
0.0235961,0.18512,0.0919581,0.0183845,0.00086992,-0.0960805,0.096067,-1.3507e-05,0.0113521
0.00196242,0.180586,0.0862315,0.0175314,0.000619875,-0.0912889,0.0912729,-1.602e-05,0.0107585
